symbol,timeframe,open_time,close_time,open,high,low,close,volume,trades
BTCUSDT,1d,1512864000000,1512950399999,14664.01000000,15720.12000000,12368.00000000,14899.98000000,16553.03717300,80669
BTCUSDT,1d,1512950400000,1513036799999,14946.26000000,17470.00000000,14901.08000000,16587.97000000,11820.40176200,71373
BTCUSDT,1d,1513036800000,1513123199999,16587.97000000,16976.45000000,15875.00000000,16349.99000000,9436.80241100,76032
BTCUSDT,1d,1513123200000,1513209599999,16349.99000000,16546.00000000,14666.56000000,16033.29000000,12416.32880100,83847
BTCUSDT,1d,1513209600000,1513295999999,16030.34000000,16445.00000000,15450.00000000,16334.98000000,11616.86715100,86150
BTCUSDT,1d,1513296000000,1513382399999,16334.98000000,17991.00000000,16298.45000000,17539.83000000,9181.27394700,85478
BTCUSDT,1d,1513382400000,1513468799999,17516.81000000,19539.00000000,17190.01000000,19102.66000000,4202.62870900,51777
BTCUSDT,1d,1513468800000,1513555199999,19120.19000000,19798.68000000,18510.00000000,18860.02000000,9177.18343400,84581
BTCUSDT,1d,1513555200000,1513641599999,18860.04000000,19300.00000000,17029.98000000,18856.25000000,10624.63307100,91956
BTCUSDT,1d,1513641600000,1513727999999,18856.25000000,18950.00000000,16300.00000000,17295.20000000,13210.74822000,116569
BTCUSDT,1d,1513728000000,1513814399999,17295.20000000,17720.35000000,14777.66000000,16488.98000000,13450.49669300,129762
BTCUSDT,1d,1513814400000,1513900799999,16480.52000000,17309.50000000,14022.00000000,15492.64000000,20324.21730000,117731
BTCUSDT,1d,1513900800000,1513987199999,15514.03000000,15699.34000000,10961.00000000,13326.61000000,36076.27117500,243261
BTCUSDT,1d,1513987200000,1514073599999,13326.61000000,14950.00000000,12978.18000000,13300.00000000,13141.53887500,135005
BTCUSDT,1d,1514073600000,1514159999999,13300.00000000,13819.99000000,11640.00000000,13500.00000000,28557.53498800,173557
BTCUSDT,1d,1514160000000,1514246399999,13500.00000000,14300.00000000,12708.00000000,13699.34000000,15748.20760700,116416
BTCUSDT,1d,1514246400000,1514332799999,13699.34000000,16050.00000000,13533.00000000,15689.01000000,15034.66810400,133133
BTCUSDT,1d,1514332800000,1514419199999,15709.98000000,16498.05000000,14200.15000000,15459.99000000,14959.86472300,142202
BTCUSDT,1d,1514419200000,1514505599999,15459.97000000,15539.99000000,13150.00000000,14182.11000000,21717.85801400,178032
BTCUSDT,1d,1514505600000,1514591999999,14199.14000000,14981.00000000,13850.00000000,14378.90000000,18072.00811600,142100
BTCUSDT,1d,1514592000000,1514678399999,14378.99000000,14398.85000000,11750.00000000,12440.01000000,19221.15803900,190204
BTCUSDT,1d,1514678400000,1514764799999,12345.10000000,14050.11000000,12149.98000000,13716.36000000,11768.98971800,138893
BTCUSDT,1d,1514764800000,1514851199999,13715.65000000,13818.55000000,12750.00000000,13380.00000000,8609.91584400,105595
BTCUSDT,1d,1514851200000,1514937599999,13382.16000000,15473.49000000,12890.02000000,14675.11000000,20078.09211100,177728
BTCUSDT,1d,1514937600000,1515023999999,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15905.66763900,162787
BTCUSDT,1d,1515024000000,1515110399999,14919.51000000,15280.00000000,13918.04000000,15059.54000000,21329.64957400,170310
BTCUSDT,1d,1515110400000,1515196799999,15059.56000000,17176.24000000,14600.00000000,16960.39000000,23251.49112500,192969
BTCUSDT,1d,1515196800000,1515283199999,16960.39000000,17143.13000000,16011.21000000,17069.79000000,18571.45750800,158242
BTCUSDT,1d,1515283200000,1515369599999,17069.79000000,17099.96000000,15610.00000000,16150.03000000,12493.12555800,120269
BTCUSDT,1d,1515369600000,1515455999999,16218.85000000,16322.30000000,12812.00000000,14902.54000000,26600.60991200,208642
BTCUSDT,1d,1515456000000,1515542399999,14902.54000000,15500.00000000,14011.05000000,14400.00000000,14315.00425300,156656
BTCUSDT,1d,1515542400000,1515628799999,14401.00000000,14955.66000000,13131.31000000,14907.09000000,17411.00165500,161476
BTCUSDT,1d,1515628800000,1515715199999,14940.00000000,14968.68000000,11400.00000000,13238.78000000,33554.72375100,239416
BTCUSDT,1d,1515715200000,1515801599999,13238.76000000,14109.78000000,12500.00000000,13740.01000000,16417.16213700,134452
BTCUSDT,1d,1515801600000,1515887999999,13749.95000000,14580.00000000,13706.15000000,14210.00000000,12221.50852800,123639
BTCUSDT,1d,1515888000000,1515974399999,14210.00000000,14339.50000000,12569.20000000,13474.99000000,17017.89432900,152364
BTCUSDT,1d,1515974400000,1516060799999,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14652.09470500,145362
BTCUSDT,1d,1516060800000,1516147199999,13500.00000000,13542.93000000,9035.00000000,10900.00000000,63401.16917500,418243
BTCUSDT,1d,1516147200000,1516233599999,10899.99000000,11680.99000000,9037.94000000,10988.79000000,72331.79664600,517293
BTCUSDT,1d,1516233600000,1516319999999,10972.59000000,11878.82000000,10435.33000000,10961.97000000,48464.43493700,393112
BTCUSDT,1d,1516320000000,1516406399999,10960.00000000,11795.00000000,10360.00000000,11474.98000000,34129.37542100,273271
BTCUSDT,1d,1516406400000,1516492799999,11474.98000000,13099.00000000,11412.45000000,12799.94000000,28768.85782700,251647
BTCUSDT,1d,1516492800000,1516579199999,12799.80000000,12799.80000000,10965.00000000,11530.00000000,41379.77342600,360207
BTCUSDT,1d,1516579200000,1516665599999,11530.00000000,11926.35000000,9900.24000000,10760.05000000,43752.60679100,363264
BTCUSDT,1d,1516665600000,1516751999999,10760.05000000,11399.00000000,9905.00000000,10799.18000000,37473.92255200,355286
BTCUSDT,1d,1516752000000,1516838399999,10799.14000000,11570.48000000,10500.00000000,11349.99000000,27158.58776200,293429
BTCUSDT,1d,1516838400000,1516924799999,11349.96000000,11794.05000000,10950.21000000,11175.27000000,20839.95418300,221040
BTCUSDT,1d,1516924800000,1517011199999,11184.70000000,11643.00000000,10311.15000000,11089.00000000,33056.87196000,314720
BTCUSDT,1d,1517011200000,1517097599999,11089.00000000,11650.00000000,10842.69000000,11491.00000000,18860.76834500,207478
BTCUSDT,1d,1517097600000,1517183999999,11499.98000000,12244.00000000,11408.00000000,11879.95000000,16887.33952400,206247
BTCUSDT,1d,1517184000000,1517270399999,11879.95000000,11975.02000000,11139.55000000,11251.00000000,14170.37753800,169199
BTCUSDT,1d,1517270400000,1517356799999,11250.11000000,11308.42000000,9900.00000000,10237.51000000,25554.37294600,259212
BTCUSDT,1d,1517356800000,1517443199999,10230.00000000,10425.85000000,9700.00000000,10285.10000000,18015.95680500,201422
BTCUSDT,1d,1517443200000,1517529599999,10285.10000000,10335.00000000,8750.99000000,9224.52000000,33564.76431100,316020
BTCUSDT,1d,1517529600000,1517615999999,9224.52000000,9250.00000000,8010.02000000,8873.03000000,49971.62697500,453411
BTCUSDT,1d,1517616000000,1517702399999,8873.03000000,9473.01000000,8229.00000000,9199.96000000,28725.00073500,327519
BTCUSDT,1d,1517702400000,1517788799999,9199.96000000,9368.00000000,7930.00000000,8184.81000000,32014.30844900,356134
BTCUSDT,1d,1517788800000,1517875199999,8179.99000000,8382.80000000,6625.00000000,6939.99000000,63403.18257900,533510
BTCUSDT,1d,1517875200000,1517961599999,6939.63000000,7878.00000000,6000.01000000,7652.14000000,100201.50030700,785996
BTCUSDT,1d,1517961600000,1518047999999,7655.02000000,8476.00000000,7150.01000000,7599.00000000,60778.46049700,514893
BTCUSDT,1d,1518048000000,1518049694788,7599.00000000,7844.00000000,7572.09000000,7784.02000000,1521.53731800,12417
BTCUSDT,1d,1518134400000,1518220799999,7789.90000000,8738.00000000,7789.90000000,8683.92000000,20482.91082500,273091
BTCUSDT,1d,1518220800000,1518307199999,8683.93000000,9065.78000000,8120.00000000,8533.98000000,49381.51265300,537578
BTCUSDT,1d,1518307200000,1518393599999,8533.99000000,8549.00000000,7726.53000000,8063.88000000,45025.18795200,524626
BTCUSDT,1d,1518393600000,1518479999999,8063.82000000,8989.00000000,8053.00000000,8903.00000000,41987.85049000,477660
BTCUSDT,1d,1518480000000,1518566399999,8903.00000000,8950.00000000,8351.00000000,8539.90000000,35454.97295600,401893
BTCUSDT,1d,1518566400000,1518652799999,8535.17000000,9489.60000000,8533.00000000,9449.99000000,40811.95286700,514897
BTCUSDT,1d,1518652800000,1518739199999,9449.98000000,10219.50000000,9301.50000000,10000.09000000,52427.59671500,608349
BTCUSDT,1d,1518739200000,1518825599999,10000.89000000,10323.37000000,9666.00000000,10159.98000000,38161.20597400,405310
BTCUSDT,1d,1518825600000,1518911999999,10156.07000000,11075.07000000,10050.00000000,11039.55000000,41882.10840700,413585
BTCUSDT,1d,1518912000000,1518998399999,11039.55000000,11274.00000000,10080.00000000,10383.43000000,61137.38072800,537534
BTCUSDT,1d,1518998400000,1519084799999,10375.01000000,11250.00000000,10270.33000000,11153.00000000,40831.41713100,366882
BTCUSDT,1d,1519084800000,1519171199999,11147.11000000,11786.01000000,11100.59000000,11200.99000000,48153.35428800,432197
BTCUSDT,1d,1519171200000,1519257599999,11195.07000000,11304.03000000,10200.00000000,10437.60000000,68113.81875400,542340
BTCUSDT,1d,1519257600000,1519343999999,10439.02000000,10933.44000000,9679.00000000,9811.04000000,67060.16648300,506273
BTCUSDT,1d,1519344000000,1519430399999,9815.55000000,10435.00000000,9570.19000000,10131.04000000,57202.70237000,467480
